,station_empty_slots,station_free_bikes,station_normal_bikes,station_ebikes,station_slots,Bar_FS,EV_Charging_Station_FS,Fuel_Station_FS,Park_FS,Parking_FS,Restaurant_FS,Transport_Hub_FS,Bar_yelp,EV_Charging_Station_yelp,Fuel_Station_yelp,Park_yelp,Parking_yelp,Restaurant_yelp,Transport_Hub_yelp
94,4,10,8,2,14,17.0,0.0,1.0,18.0,7.0,50.0,11.0,13.0,1.0,0.0,10.0,2.0,49.0,50.0
95,12,4,4,0,16,19.0,0.0,1.0,23.0,9.0,50.0,11.0,20.0,0.0,0.0,11.0,2.0,49.0,3.0
96,3,13,12,1,16,46.0,0.0,2.0,14.0,15.0,50.0,26.0,50.0,0.0,1.0,7.0,7.0,50.0,14.0
97,4,16,13,3,20,35.0,0.0,3.0,15.0,2.0,50.0,22.0,29.0,0.0,3.0,8.0,1.0,50.0,11.0
98,8,12,12,0,20,50.0,0.0,1.0,14.0,20.0,50.0,26.0,50.0,0.0,0.0,11.0,12.0,50.0,19.0
99,6,9,9,0,18,50.0,4.0,3.0,13.0,45.0,50.0,50.0,50.0,0.0,0.0,4.0,19.0,50.0,28.0
100,12,0,0,0,12,10.0,0.0,8.0,13.0,3.0,46.0,5.0,13.0,0.0,4.0,7.0,1.0,50.0,4.0
101,15,5,5,0,20,16.0,0.0,6.0,12.0,0.0,47.0,5.0,16.0,0.0,9.0,6.0,0.0,50.0,1.0
102,16,4,4,0,20,16.0,0.0,11.0,17.0,4.0,50.0,13.0,22.0,0.0,8.0,9.0,1.0,50.0,5.0
103,5,6,6,0,12,36.0,0.0,3.0,13.0,2.0,50.0,11.0,29.0,0.0,3.0,11.0,1.0,50.0,4.0
104,13,7,6,1,20,50.0,4.0,5.0,22.0,30.0,50.0,50.0,50.0,0.0,1.0,13.0,12.0,50.0,23.0
105,9,11,11,0,20,5.0,0.0,0.0,10.0,3.0,42.0,6.0,11.0,0.0,0.0,10.0,1.0,50.0,4.0
106,6,8,8,0,14,6.0,0.0,1.0,10.0,7.0,49.0,7.0,9.0,0.0,0.0,11.0,2.0,49.0,2.0
107,5,9,9,0,14,50.0,0.0,1.0,15.0,16.0,50.0,19.0,50.0,0.0,0.0,9.0,4.0,50.0,13.0
108,4,14,13,1,18,50.0,0.0,2.0,19.0,28.0,50.0,34.0,50.0,0.0,1.0,13.0,13.0,50.0,22.0
109,5,8,7,1,14,16.0,0.0,5.0,7.0,0.0,45.0,9.0,18.0,0.0,3.0,5.0,0.0,50.0,6.0
110,1,21,19,2,22,23.0,0.0,4.0,7.0,0.0,50.0,9.0,17.0,0.0,6.0,2.0,0.0,50.0,6.0
111,13,3,2,1,16,24.0,0.0,4.0,7.0,0.0,50.0,9.0,20.0,0.0,8.0,3.0,0.0,50.0,5.0
112,8,8,7,1,16,18.0,0.0,4.0,6.0,0.0,50.0,8.0,13.0,0.0,5.0,4.0,0.0,50.0,6.0
113,8,6,5,1,14,34.0,0.0,2.0,11.0,3.0,50.0,17.0,34.0,0.0,2.0,8.0,3.0,50.0,11.0
114,11,9,8,1,20,38.0,0.0,2.0,6.0,3.0,50.0,4.0,33.0,0.0,2.0,6.0,3.0,50.0,2.0
115,7,7,2,5,14,17.0,0.0,5.0,11.0,0.0,50.0,7.0,18.0,0.0,7.0,6.0,0.0,50.0,5.0
116,3,11,11,0,14,22.0,0.0,5.0,9.0,0.0,50.0,9.0,18.0,0.0,5.0,4.0,0.0,50.0,5.0
117,8,6,5,1,14,24.0,0.0,2.0,13.0,4.0,50.0,23.0,37.0,0.0,1.0,7.0,3.0,50.0,13.0
118,18,10,7,3,28,13.0,0.0,6.0,11.0,1.0,42.0,6.0,16.0,0.0,3.0,9.0,0.0,50.0,4.0
119,12,8,8,0,20,8.0,0.0,6.0,10.0,1.0,41.0,6.0,16.0,0.0,3.0,8.0,0.0,50.0,4.0
120,11,3,1,2,14,15.0,0.0,4.0,11.0,0.0,50.0,7.0,16.0,0.0,5.0,6.0,0.0,50.0,6.0
121,16,6,5,1,22,15.0,0.0,5.0,12.0,0.0,50.0,5.0,16.0,0.0,5.0,7.0,0.0,50.0,4.0
122,7,7,5,2,14,15.0,0.0,8.0,13.0,0.0,49.0,3.0,16.0,0.0,6.0,7.0,0.0,50.0,3.0
123,21,17,14,3,38,12.0,0.0,7.0,15.0,0.0,50.0,2.0,13.0,0.0,6.0,9.0,0.0,50.0,2.0
124,22,4,3,1,26,8.0,0.0,5.0,14.0,0.0,44.0,3.0,9.0,0.0,6.0,8.0,0.0,50.0,1.0
125,10,4,4,0,14,5.0,0.0,7.0,16.0,0.0,42.0,3.0,6.0,0.0,4.0,6.0,0.0,50.0,1.0
